download_month,download_count
2018-07,740
2018-08,2318
2018-09,1791
2018-10,3217
2018-11,3940
2018-12,3212
2019-01,3482
2019-02,3136
2019-03,4032
2019-04,3604
2019-05,4476
2019-06,3613
2019-07,3610
2019-08,3421
2019-09,2924
2019-10,3091
2019-11,2802
2019-12,3159
2020-01,3219
2020-02,4138
2020-03,3128
2020-04,3811
2020-05,5561
2020-06,6534
2020-07,4868
2020-08,5730
2020-09,4702
2020-10,5127
2020-11,4918
2020-12,3749
2021-01,4591
2021-02,4017
2021-03,5621
2021-04,4991
2021-05,5085
2021-06,5806
2021-07,6362
2021-08,5132
2021-09,6500
2021-10,8755
2021-11,13268
2021-12,14155
2022-01,15754
2022-02,21683
2022-03,34815
2022-04,63503
2022-05,55659
2022-06,69697
2022-07,76213
2022-08,27972
